"state","growthRate","growthSince2010","pop2023"
"Florida",0.01873,0.20532,22661577
"Idaho",0.01791,0.25911,1973752
"South Carolina",0.01692,0.16142,5372002
"Texas",0.01567,0.21295,30500280
"South Dakota",0.01501,0.13425,923484
"Montana",0.01482,0.1517,1139507
"Delaware",0.01334,0.14929,1031985
"Arizona",0.01282,0.16607,7453517
"North Carolina",0.01244,0.13597,10832061
"Utah",0.01233,0.23829,3422487
"Tennessee",0.01177,0.12421,7134327
"Georgia",0.01144,0.13936,11037723
"Nevada",0.00987,0.18833,3209142
"Oklahoma",0.00711,0.07918,4048375
"Maine",0.00585,0.04899,1393442
"Washington",0.00579,0.16451,7830827
"Arkansas",0.00575,0.05049,3063152
"New Hampshire",0.00554,0.0657,1402957
"Colorado",0.0049,0.1669,5868555
"Alabama",0.00482,0.06674,5098746
"District of Columbia",0.00448,0.12147,674815
"Wyoming",0.00326,0.03487,583279
"Virginia",0.00302,0.08859,8709873
"Indiana",0.00285,0.05687,6852542
"Nebraska",0.00222,0.07991,1972292
"Wisconsin",0.00211,0.03833,5904977
"North Dakota",0.0017,0.16057,780588
"Missouri",0.00132,0.03292,6186091
"Kentucky",0.00127,0.04117,4518031
"Minnesota",0.001,0.07899,5722897
"Iowa",0.00088,0.05153,3203345
"Connecticut",0.00079,0.01538,3629055
"Vermont",0.00014,0.03422,647156
"Kansas",-0.00026,0.02918,2936378
"Michigan",-0.00034,0.01488,10030722
"New Jersey",-0.00068,0.05272,9255437
"Ohio",-0.0007,0.01831,11747774
"Alaska",-0.00082,0.03204,732984
"Massachusetts",-0.00111,0.06516,6974258
"New Mexico",-0.00158,0.02469,2110011
"Maryland",-0.00161,0.06602,6154710
"California",-0.00291,0.04461,38915693
"Rhode Island",-0.00297,0.03602,1090483
"Pennsylvania",-0.00309,0.01807,12931957
"Mississippi",-0.00324,-0.01239,2930528
"Oregon",-0.00381,0.10256,4223973
"Hawaii",-0.00483,0.05362,1433238
"West Virginia",-0.00584,-0.0476,1764786
"Louisiana",-0.00803,0.00441,4553384
"Illinois",-0.0083,-0.02752,12477595
"New York",-0.00916,0.00613,19496810