State,propertyTaxRate
New Jersey,0.0249
Illinois,0.0227
New Hampshire,0.0218
Connecticut,0.0214
Vermont,0.019
Wisconsin,0.0185
Texas,0.018
Nebraska,0.0173
New York,0.0172
Rhode Island,0.0163
Pennsylvania,0.0158
Iowa,0.0157
Ohio,0.0156
Michigan,0.0154
Kansas,0.0141
Maine,0.0136
South Dakota,0.0131
Massachusetts,0.0123
Alaska,0.0119
Minnesota,0.0112
Maryland,0.0109
North Dakota,0.0098
Washington,0.0098
Missouri,0.0097
Oregon,0.0097
Georgia,0.0092
Oklahoma,0.009
Florida,0.0089
Kentucky,0.0086
Indiana,0.0085
Montana,0.0084
North Carolina,0.0084
Virginia,0.0082
Mississippi,0.0081
New Mexico,0.008
California,0.0076
Tennessee,0.0071
Idaho,0.0069
Arizona,0.0066
Utah,0.0063
Arkansas,0.0062
Wyoming,0.0061
Nevada,0.006
West Virginia,0.0058
Delaware,0.0057
South Carolina,0.0057
District of Columbia,0.0056
Louisiana,0.0055
Colorado,0.0051
Alabama,0.0041
Hawaii,0.0028