State,First         Quarter       2022,Margin of Error1,Second         Quarter       2022,Margin of Error1,Third         Quarter       2022,Margin of Error1,Fourth         Quarter       2022,Margin of Error1
Alabama........................................,6.9,2.3,6.9,2.3,9.3,2.6,9.3,2.7
Alaska..............................................,5.1,2.3,4.1,2.2,6.2,2.7,5.9,2.6
Arizona...........................................,6.0,2.2,5.5,2.1,6.7,2.4,6.7,2.3
Arkansas.........................................,7.5,2.3,8.4,2.3,12.9,2.8,13.3,3.0
California.........................................,3.8,0.7,4.1,0.7,4.1,0.7,3.6,0.7
Colorado..........................................,3.4,1.9,4.0,2.1,5.0,2.3,3.9,2.1
Connecticut......................................,4.7,2.3,2.1,1.6,2.0,1.6,4.4,2.4
Delaware.........................................,3.3,2.3,2.6,1.9,3.7,2.2,4.7,2.8
District of Columbia......................,8.3,1.6,8.5,1.7,7.7,1.6,7.2,1.5
Florida...............................................,6.6,1.4,8.0,1.6,7.6,1.5,6.8,1.4
Georgia...........................................,7.6,2.0,7.6,2.0,6.7,1.9,6.3,1.8
Hawaii...............................................,6.1,2.3,5.4,2.1,8.6,2.5,7.2,2.4
Idaho................................................,3.3,1.7,3.8,1.9,4.3,2.0,4.5,1.9
Illinois...............................................,6.4,1.7,7.9,1.8,7.7,1.7,7.7,1.9
Indiana...........................................,8.7,2.7,8.7,2.7,8.8,2.9,8.9,2.7
Iowa..................................................,8.3,3.5,6.5,3.2,8.6,3.4,6.7,2.9
Kansas...........................................,8.8,2.9,10.8,3.3,6.9,2.6,7.5,2.8
Kentucky.........................................,5.6,2.4,3.8,2.1,5.1,2.6,3.1,2.1
Louisiana.........................................,5.1,1.8,6.6,2.1,7.8,2.2,8.0,2.2
Maine...............................................,6.1,3.5,4.1,2.9,2.9,2.4,2.9,2.4
Maryland.....................................,7.6,3.2,3.9,2.3,4.2,2.2,5.7,2.5
Massachusetts................................,2.8,1.2,2.7,1.2,3.0,1.3,2.8,1.3
Michigan...........................................,4.2,1.9,5.2,2.0,6.6,2.3,6.2,2.2
Minnesota........................................,6.7,3.1,8.0,3.4,9.0,3.5,5.0,2.9
Mississippi.....................................,7.7,2.6,8.1,2.5,8.0,2.6,9.8,2.8
Missouri...........................................,3.7,1.9,6.9,2.6,9.6,3.2,8.4,2.9
Montana.............................................,3.4,1.6,3.6,1.7,2.5,1.4,3.3,1.6
Nebraska.........................................,5.6,2.4,5.2,2.3,5.9,2.5,4.1,2.2
Nevada..............................................,7.5,2.4,4.8,2.0,5.9,2.1,5.6,2.2
New Hampshire..............................,5.3,2.7,4.5,2.4,3.6,2.2,4.0,2.3
New Jersey........................................,4.0,1.5,3.2,1.3,3.3,1.4,4.2,1.5
New Mexico....................................,5.4,2.1,6.6,2.3,5.4,2.2,6.6,2.4
New York..........................................,5.1,1.1,4.4,1.0,4.3,1.0,3.5,0.9
North Carolina.................................,6.2,2.0,5.4,1.8,8.3,2.1,5.3,1.7
North Dakota..................................,13.6,3.0,11.0,2.8,12.4,2.9,11.8,3.0
Ohio...................................................,4.6,1.5,5.4,1.6,4.9,1.5,6.2,1.6
Oklahoma........................................,8.5,2.6,7.3,2.6,9.0,2.8,9.3,2.8
Oregon.............................................,6.2,2.2,3.3,1.7,3.0,1.5,3.8,1.7
Pennsylvania.................................,6.5,1.8,4.3,1.5,5.3,1.7,5.0,1.7
Rhode Island...................................,5.2,2.7,3.9,2.2,5.5,2.6,3.9,2.3
South Carolina.................................,12.9,3.6,6.3,2.7,4.2,2.1,7.5,2.6
South Dakota.................................,5.4,2.5,4.7,2.3,5.8,2.6,7.9,3.2
Tennessee......................................,6.0,1.9,8.9,2.3,7.8,2.2,6.5,2.0
Texas..................................................,7.7,1.2,7.4,1.2,8.1,1.3,8.3,1.3
Utah.....................................................,5.0,2.3,4.7,2.2,5.0,2.3,3.0,1.8
Vermont..........................................,2.5,1.7,2.4,1.8,4.2,2.3,5.1,2.5
Virginia.............................................,5.3,2.0,4.5,1.9,3.3,1.6,6.3,2.1
Washington....................................,4.9,1.8,4.0,1.7,5.5,2.1,4.3,1.8
West Virginia..................................,8.0,2.9,7.3,2.7,6.4,2.5,10.6,3.1
Wisconsin.........................................,4.9,2.5,3.2,2.0,4.5,2.5,5.8,2.7
Wyoming.........................................,9.2,3.1,6.0,2.6,7.3,3.1,6.3,2.8